claim_ids	premises	hypotheses	labels
264	Enhanced NETosis was observed in circulating and RA synovial fluid neutrophils compared to neutrophils from healthy controls and from patients with osteoarthritis (OA).	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.	neutral
264	We investigated whether aberrant NETosis occurs in RA, determined its triggers, and examined its deleterious inflammatory consequences.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.	neutral
264	The early events leading to the development of rheumatoid arthritis (RA) remain unclear, but formation of autoantibodies to citrullinated protein antigens (ACPAs) is considered a key pathogenic event.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.	neutral
264	NETosis correlated with ACPA presence and levels and with systemic inflammatory markers.	Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.	neutral
265	Here, we show that clathrin stabilizes fibres of the mitotic spindle to aid congression of chromosomes.	Clathrin stabilizes the spindle fiber apparatus during mitosis.	entailment
265	Depletion of clathrin heavy chain using RNA interference prolonged mitosis; kinetochore fibres were destabilized, leading to defective congression of chromosomes to the metaphase plate and persistent activation of the spindle checkpoint.	Clathrin stabilizes the spindle fiber apparatus during mitosis.	entailment
265	Normal mitosis was rescued by clathrin triskelia but not the N-terminal domain of clathrin heavy chain, indicating that stabilization of kinetochore fibres was dependent on the unique structure of clathrin.	Clathrin stabilizes the spindle fiber apparatus during mitosis.	entailment
265	The formation of clathrin-coated vesicles occurs continuously in non-dividing cells, but is shut down during mitosis, when clathrin concentrates at the spindle apparatus.	Clathrin stabilizes the spindle fiber apparatus during mitosis.	neutral
265	Clathrin bound to the spindle directly by the amino-terminal domain of clathrin heavy chain.	Clathrin stabilizes the spindle fiber apparatus during mitosis.	neutral
265	Clathrin has an established function in the generation of vesicles that transfer membrane and proteins around the cell.	Clathrin stabilizes the spindle fiber apparatus during mitosis.	neutral
266	Cnn1 regulates KMN activity in a spatiotemporal manner by inhibiting the interaction between its complexes.	Cnn1 recruitment varies with cell cycle timing.	entailment
266	Cnn1 activity peaks in anaphase and is driven by the Cdc28, Mps1 and Ipl1 kinases.	Cnn1 recruitment varies with cell cycle timing.	entailment
266	Kinetochore–spindle binding and chromosome segregation are mediated by the multi-copy KNL1Spc105, MIS12Mtw1 and NDC80Ndc80 complexes that form the so-called KMN network.	Cnn1 recruitment varies with cell cycle timing.	neutral
266	KMN–spindle attachment is regulated by the Aurora BIpl1 and MPS1Mps1 kinases.	Cnn1 recruitment varies with cell cycle timing.	neutral
267	RESULTS CBT resulted in improved short- and long-term outcomes compared with zopiclone on 3 out of 4 outcome measures.	Cognitive behavioral therapy is an ineffective treatment for insomnia	contradiction
267	Participants receiving CBT improved their sleep efficiency from 81.4% at pretreatment to 90.1% at 6-month follow-up compared with a decrease from 82.3% to 81.9% in the zopiclone group.	Cognitive behavioral therapy is an ineffective treatment for insomnia	contradiction
267	Participants in the CBT group spent much more time in slow-wave sleep (stages 3 and 4) compared with those in other groups, and spent less time awake during the night.	Cognitive behavioral therapy is an ineffective treatment for insomnia	contradiction
267	CONCLUSION These results suggest that interventions based on CBT are superior to zopiclone treatment both in short- and long-term management of insomnia in older adults.	Cognitive behavioral therapy is an ineffective treatment for insomnia	contradiction
267	OBJECTIVE To examine short- and long-term clinical efficacy of cognitive behavioral therapy (CBT) and pharmacological treatment in older adults experiencing chronic primary insomnia.	Cognitive behavioral therapy is an ineffective treatment for insomnia	neutral
267	TRIAL REGISTRATION clinicaltrials.gov Identifier: NCT00295386.	Cognitive behavioral therapy is an ineffective treatment for insomnia	neutral
267	MAIN OUTCOME MEASURES Ambulant clinical polysomnographic data and sleep diaries were used to determine total wake time, total sleep time, sleep efficiency, and slow-wave sleep (only assessed using polysomnography) on all 3 assessment points.	Cognitive behavioral therapy is an ineffective treatment for insomnia	neutral
267	CONTEXT Insomnia is a common condition in older adults and is associated with a number of adverse medical, social, and psychological consequences.	Cognitive behavioral therapy is an ineffective treatment for insomnia	neutral
272	RESULTS At 12 weeks, 53.0% of the combination therapy group achieved prolonged smoking abstinence and 56.2% achieved 7-day point-prevalence smoking abstinence compared with 43.2% and 48.6% in varenicline monotherapy (odds ratio [OR], 1.49; 95% CI, 1.05-2.12; P = .03 and OR, 1.36; 95% CI, 0.95-1.93; P = .09, respectively).	Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.	entailment
272	Secondary outcomes were prolonged and point-prevalence smoking abstinence rates at weeks 26 and 52.	Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.	neutral
277	Analysis of the genome sequence indicates that the genome is 7489 bp in size and that the transcribed strand contains three open reading frames capable of encoding proteins of 23, 15 and 216 kd.	Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.	entailment
277	A fraction of the transcripts is polyadenylated, although the majority of the transcript is not polyadenylated.	Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.	neutral
278	Analysis of the genome sequence indicates that the genome is 7489 bp in size and that the transcribed strand contains three open reading frames capable of encoding proteins of 23, 15 and 216 kd.	Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.	contradiction
278	Analysis of the viral transcript indicates that the virus encodes a single terminally-redundant genome-length plus 120 nucleotide transcript.	Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.	neutral
280	Through comparative analysis of expression in platelets and other blood cells we demonstrated that G6b, G6f, and LRRC32 are restricted to the platelet lineage, whereas LAT2 and SUCNR1 were also detected in other blood cells.The identification of the succinate receptor SUCNR1 in platelets is of particular interest, because physiologically relevant concentrations of succinate were shown to potentiate the effect of low doses of a variety of platelet agonists.	Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.	entailment
280	Many of these transcripts, including G6b, G6f, LRRC32, LAT2, and the G protein-coupled receptor SUCNR1, encode proteins with structural features or functions that suggest they may be involved in the modulation of platelet function.	Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.	neutral
280	Bioinformatical analysis of MK-up-regulated genes identified 151 transcripts encoding transmembrane domain-containing proteins.	Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.	neutral
